320.0,8.388750291807041662e-10
325.0,7.957349902680715554e-10
330.0,7.909438273733047785e-10
335.0,7.713592292640205937e-10
340.0,7.473446566624506184e-10
345.0,7.143228377985879494e-10
350.0,6.991033214805657174e-10
355.0,6.780741392979399188e-10
360.0,6.637759526461233880e-10
365.0,6.552956699319691990e-10
370.0,6.478043333919265126e-10
375.0,6.399365280080516999e-10
380.0,6.420390898136831166e-10
385.0,6.278012139600574475e-10
390.0,6.339599628382037941e-10
395.0,6.161457002162102899e-10
400.0,6.275111725430403153e-10
405.0,6.061036260895223121e-10
410.0,5.848668066698355024e-10
415.0,5.715517799746515929e-10
420.0,5.764465124451838106e-10
425.0,5.864937105501983490e-10
430.0,5.972424858399041015e-10
435.0,6.196031702823393540e-10
440.0,6.374261827666189677e-10
445.0,6.611621399586521773e-10
450.0,6.895564172598866948e-10
455.0,7.186273740990573344e-10
460.0,7.519693879158916786e-10
465.0,7.899632826747388249e-10
470.0,8.402123984971086526e-10
475.0,8.921333120523996673e-10
480.0,9.468720150242808942e-10
485.0,1.008928221712842978e-09
490.0,1.079116760654536369e-09
495.0,1.159336308609041364e-09
500.0,1.245662438473972879e-09
505.0,1.344636228121823325e-09
510.0,1.456793736017449610e-09
515.0,1.565209687858730571e-09
520.0,1.695966192230636939e-09
525.0,1.833412712006381640e-09
530.0,1.985684073957707521e-09
535.0,2.157276940595698498e-09
540.0,2.347041238162835515e-09
545.0,2.565734774225676913e-09
550.0,2.800775769074452616e-09
555.0,3.063468127820999588e-09
560.0,3.346103785793626095e-09
565.0,3.644782421488056074e-09
570.0,3.959750671936942652e-09
575.0,4.301955337363253668e-09
580.0,4.651940612035071095e-09
585.0,5.042507409037979883e-09
590.0,5.476118628877583536e-09
595.0,5.968206183921732719e-09
600.0,5.730000000000008957e-09
